"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"	"Published"	"Repository"	"RemoteUrl"	"RemoteSha"	"biocViews"
"SummarizedExperiment"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.42.0"		"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.61.4), Biobase"	"utils, stats, tools, Matrix, BiocGenerics (>= 0.51.3),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), Seqinfo, S4Arrays
(>= 1.1.1), DelayedArray (>= 0.31.12)"		"GenomeInfoDb (>= 1.45.5), rhdf5, HDF5Array (>= 1.7.5),
annotate, AnnotationDbi, GenomicFeatures, SparseArray,
SingleCellExperiment, TxDb.Hsapiens.UCSC.hg19.knownGene,
hgu95av2.db, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown,
RUnit, testthat, digest"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-04-29 11:30:24 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/SummarizedExperiment"	"38d319f79612b5bc873e609cb909f9165345f2b1"	"Genetics, Infrastructure, Sequencing, Annotation, Coverage,
GenomeAnnotation"
"WriteXLS"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"6.8.0"			"utils"				"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-08-19 11:50:21 UTC; windows"		"CRAN"			
"XVector"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.52.0"		"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.43.8)"	"methods, utils, stats, tools, BiocGenerics, S4Vectors, IRanges"	"S4Vectors, IRanges"	"Biostrings, drosophila2probe, RUnit"		"Artistic-2.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:56:17 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/XVector"	"fa5f5a6296e984f5cb90b52bff781e710d999111"	"Infrastructure, DataRepresentation"
"abind"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.4-8"		"R (>= 1.5.0)"	"methods, utils"				"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-08-19 11:46:37 UTC; windows"		"CRAN"			
"askpass"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.1"			"sys (>= 2.1)"		"testthat"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:57 UTC; windows"		"CRAN"			
"assorthead"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.6.3"					"knitr, rmarkdown, BiocStyle"		"MIT + file LICENSE"					"no"	"R 4.6.0; ; 2026-05-25 11:54:42 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/assorthead"	"9ee2dd8e2852145d3755b4bebc002b1328bb02e0"	"SingleCell, QualityControl, Normalization,
DataRepresentation, DataImport, DifferentialExpression,
Alignment"
"backports"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.5.1"		"R (>= 3.0.0)"					"GPL-2 | GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:10 UTC; windows"		"CRAN"			
"base"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"				"methods"	"chron, date, round"	"Part of R 4.6.1"						"R 4.6.1; ; 2026-06-24 08:20:51 UTC; windows"					
"base64enc"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.1-6"		"R (>= 2.9.0)"				"png"	"GPL-2 | GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:07 UTC; windows"		"CRAN"			
"beachmat"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.28.0"			"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp"	"Rcpp, assorthead (>= 1.5.4)"	"testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5"		"GPL-3"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-05-01 09:36:42 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/beachmat"	"a5ec637c732e3ce1e978036e67f5030253503624"	"DataRepresentation, DataImport, Infrastructure"
"beeswarm"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.0"			"stats, graphics, grDevices, utils"				"Artistic-2.0"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:52 UTC; windows"		"CRAN"			
"bitops"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1-0"							"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:54 UTC; windows"		"CRAN"			
"bluster"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.22.0"			"stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors"	"Rcpp, assorthead"	"knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster, DirichletMultinomial, vegan, fastcluster"		"GPL-3"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 17:58:04 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/bluster"	"c564e528da63e928b8a22e01bf80c148ce8042a3"	"ImmunoOncology, Software, GeneExpression, Transcriptomics,
SingleCell, Clustering"
"boot"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"1.3-32"	"recommended"	"R (>= 3.0.0), graphics, stats"			"MASS, survival"		"Unlimited"					"no"	"R 4.6.1; ; 2026-06-24 08:32:04 UTC; windows"		"CRAN"			
"broom"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"1.0.13"		"R (>= 4.1)"	"backports, cli, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang (>= 1.1.0), stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)"		"AER, AUC, bbmle, betareg (>= 3.2-1), biglm, binGroup, boot,
btergm (>= 1.10.6), car (>= 3.1-2), carData, caret, cluster,
cmprsk, coda, covr, drc, e1071, emmeans, epiR (>= 2.0.85), ergm
(>= 3.10.4), fixest (>= 0.9.0), gam (>= 1.15), gee, geepack,
ggplot2, glmnet, glmnetUtils, gmm, Hmisc, interp, irlba,
joineRML, Kendall, knitr, ks, Lahman, lavaan (>= 0.6.18),
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests (>= 0.1.6), muhaz,
multcomp, network, nnet, ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, spatialreg,
spdep (>= 1.1), speedglm, spelling, stats4, survey, survival
(>= 3.6-4), systemfit, testthat (>= 3.0.0), tseries, vars, zoo"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 04:11:56 UTC; windows"		"CRAN"			
"bslib"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.12.0"		"R (>= 2.10)"	"base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)"		"brand.yml, bsicons, curl, fontawesome, future, ggplot2,
knitr, lattice, magrittr, rappdirs, rmarkdown (>= 2.7), shiny
(>= 1.11.1.9000), testthat, thematic, tools, utils, withr, yaml"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:40:27 UTC; windows"		"CRAN"			
"caTools"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.18.4"		"R (>= 3.6.0)"	"bitops"		"MASS, rpart"		"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:41 UTC; windows"		"CRAN"			
"cachem"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1.0"			"rlang, fastmap (>= 1.2.0)"		"testthat"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:54 UTC; windows"		"CRAN"			
"callr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.8.0"		"R (>= 3.4)"	"otel (>= 0.2.0), processx (>= 3.6.1), R6, utils"		"asciicast (>= 2.3.1), carrier, cli (>= 1.1.0), otelsdk (>=
0.2.0), ps, rprojroot, spelling, testthat (>= 3.2.0), withr (>=
2.3.0)"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:58 UTC; windows"		"CRAN"			
"car"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"3.1-5"		"R (>= 3.5.0), carData (>= 3.0-0)"	"abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales"		"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, ordinal, plotrix, mvtnorm, rgl (>= 0.111.3), rio,
sandwich, SparseM, survival, survey"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 04:53:17 UTC; windows"		"CRAN"			
"carData"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"3.0-6"		"R (>= 3.5.0)"			"car (>= 3.0-0)"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows"		"CRAN"			
"celda"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.28.0"		"R (>= 4.0), SingleCellExperiment, Matrix"	"plyr, foreach, ggplot2, RColorBrewer, grid, scales, gtable,
grDevices, graphics, matrixStats, doParallel, digest, methods,
reshape2, S4Vectors, data.table, Rcpp, RcppEigen, uwot,
enrichR, SummarizedExperiment, MCMCprecision, ggrepel, Rtsne,
withr, scater (>= 1.14.4), scran, dbscan, DelayedArray,
stringr, ComplexHeatmap, gridExtra, circlize, dendextend,
ggdendro, pROC"	"Rcpp, RcppEigen"	"testthat, knitr, roxygen2, rmarkdown, biomaRt, covr,
BiocManager, BiocStyle, TENxPBMCData, singleCellTK,
M3DExampleData"		"MIT + file LICENSE"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 20:50:06 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/celda"	"ac7591c7cd29b140f8ccd4a0c8b9ace33ea8eb79"	"SingleCell, GeneExpression, Clustering, Sequencing,
Bayesian, ImmunoOncology, DataImport"
"checkmate"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.3.4"		"R (>= 3.0.0)"	"backports (>= 1.1.0), utils"		"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble"		"BSD_3_clause + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:58 UTC; windows"		"CRAN"			
"circlize"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.18"		"R (>= 4.0.0), graphics"	"GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid"		"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 01:55:59 UTC; windows"		"CRAN"			
"class"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"7.3-23"	"recommended"	"R (>= 3.0.0), stats, utils"	"MASS"				"GPL-2 | GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:04 UTC; windows"		"CRAN"			
"cli"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.6.6"		"R (>= 3.4)"	"utils"		"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat (>= 3.2.0), tibble, whoami, withr"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"clue"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3-68"		"R (>= 3.2.0)"	"stats, cluster, graphics, methods"		"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations"	"RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools"	"GPL-2"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:42 UTC; windows"		"CRAN"			
"cluster"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"2.1.8.2"	"recommended"	"R (>= 3.5.0)"	"graphics, grDevices, stats, utils"		"MASS, Matrix"	"mvoutlier, fpc, ellipse, sfsmisc"	"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:11 UTC; windows"		"CRAN"			
"coda"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.19-4.1"		"R (>= 2.14.0)"	"lattice"				"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 00:54:39 UTC; windows"		"CRAN"			
"codetools"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"0.2-20"	"recommended"	"R (>= 2.1)"					"GPL"					"no"	"R 4.6.1; ; 2026-06-24 08:32:25 UTC; windows"		"CRAN"			
"collapse"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"2.1.8"		"R (>= 4.1.0)"	"Rcpp (>= 1.0.1)"	"Rcpp"	"fastverse, data.table, magrittr, kit, xts, zoo, plm, fixest,
vars, RcppArmadillo, RcppEigen, tibble, dplyr, ggplot2, scales,
microbenchmark, testthat, covr, knitr, rmarkdown, withr, bit64"		"GPL (>= 2) | file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:08 UTC; windows"		"CRAN"			
"colorspace"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.1-3"		"R (>= 3.0.0), methods"	"graphics, grDevices, stats"		"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson"		"BSD_3_clause + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows"		"CRAN"			
"combinat"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.0-8"							"GPL-2"						"R 4.6.1; ; 2026-08-19 11:49:03 UTC; windows"		"CRAN"			
"commonmark"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.0.0"					"curl, testthat, xml2"		"BSD_2_clause + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:03 UTC; windows"		"CRAN"			
"compiler"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"						"Part of R 4.6.1"						"R 4.6.1; ; 2026-06-24 08:14:21 UTC; windows"					
"corrplot"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.95"					"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:55:05 UTC; windows"		"CRAN"			
"cowplot"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.0"		"R (>= 3.5.0)"	"ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang,
scales"		"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram"		"GPL-2"					"no"	"R 4.6.1; ; 2026-09-09 03:03:39 UTC; windows"		"CRAN"			
"cpp11"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.5.5"		"R (>= 4.0.0)"			"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"crayon"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.5.3"			"grDevices, methods, utils"		"mockery, rstudioapi, testthat, withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:16 UTC; windows"		"CRAN"			
"crosstalk"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.2"			"htmltools (>= 0.3.6), jsonlite, lazyeval, R6"		"bslib, ggplot2, sass, shiny, testthat (>= 2.1.0)"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 02:20:58 UTC; windows"		"CRAN"			
"curl"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"8.0.0"		"R (>= 3.0.0)"			"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:15 UTC; windows"		"CRAN"			
"data.table"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.18.6.1"		"R (>= 3.4.0)"	"methods"		"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils (>= 2.13.0), xts,
zoo (>= 1.8-1), yaml, knitr, markdown"		"MPL-2.0 | file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:07 UTC; windows"		"CRAN"			
"datasets"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"4.6.1"	"base"						"Part of R 4.6.1"						"R 4.6.1; ; 2026-06-24 08:19:02 UTC; windows"					
"dbscan"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.6"		"R (>= 3.2.0)"	"generics, graphics, Rcpp (>= 1.0.0), stats"	"Rcpp"	"dendextend, fpc, igraph, knitr, microbenchmark, rmarkdown,
testthat (>= 3.0.0), tibble"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:08 UTC; windows"		"CRAN"			
"decontX"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.10.0"		"R (>= 4.3.0)"	"celda, dbscan, DelayedArray, ggplot2, Matrix (>= 1.5.3),
MCMCprecision, methods, patchwork, plyr, Rcpp (>= 0.12.0),
RcppParallel (>= 5.0.1), reshape2, rstan (>= 2.18.1),
rstantools (>= 2.2.0), S4Vectors, scater, Seurat,
SingleCellExperiment, SummarizedExperiment, withr"	"BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)"	"BiocStyle, dplyr, knitr, rmarkdown, scran,
SingleCellMultiModal, TENxPBMCData, testthat (>= 3.0.0)"		"MIT + file LICENSE"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-05-01 10:15:47 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/decontX"	"ffb4063aff1ced121ab403769911f9cba1b8a0c0"	"SingleCell, Bayesian"
"deldir"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.0-4"		"R (>= 3.5.0)"	"graphics, grDevices"		"polyclip"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:39 UTC; windows"		"CRAN"			
"dendextend"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.19.1"		"R (>= 3.0.0)"	"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis"		"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr"	"ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo"	"GPL-2 | GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 03:04:42 UTC; windows"		"CRAN"			
"desc"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.4.3"		"R (>= 3.4)"	"cli, R6, utils"		"callr, covr, gh, spelling, testthat, whoami, withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 01:55:57 UTC; windows"		"CRAN"			
"digest"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.6.39"		"R (>= 3.3.0)"	"utils"		"tinytest, simplermarkdown, rbenchmark"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows"		"CRAN"			
"distributional"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.9.0"		"R (>= 4.0.0)"	"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
utils, lifecycle, pillar"		"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), evd,
ggdist, ggplot2, gk, knitr, LaplacesDemon, pkgdown, rmarkdown,
tweedieDistr"		"GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 02:41:28 UTC; windows"		"CRAN"			
"doBy"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"4.7.2"		"R (>= 4.2.0), methods"	"boot, broom, cowplot, Deriv, dplyr, forecast, ggplot2, MASS,
Matrix, modelr, rlang, purrr, tibble, tidyr,"		"geepack, knitr, lme4, markdown, rmarkdown, multcomp,
microbenchmark, pbkrtest (>= 0.5.2), survival, testthat (>=
2.1.0)"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 04:49:26 UTC; windows"		"CRAN"			
"doParallel"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.17"		"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils"			"caret, mlbench, rpart, RUnit"	"compiler"	"GPL-2"					"no"	"R 4.6.1; ; 2026-09-09 02:21:01 UTC; windows"		"CRAN"			
"dotCall64"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2"		"R (>= 4.0)"			"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:02 UTC; windows"		"CRAN"			
"dplyr"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.1"		"R (>= 4.1.0)"	"cli (>= 3.6.2), generics, glue (>= 1.3.2), lifecycle (>=
1.0.5), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.7), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.7.1)"		"broom, covr, DBI, dbplyr (>= 2.2.1), ggplot2, knitr, Lahman,
lobstr, nycflights13, purrr, rmarkdown, RSQLite, stringi (>=
1.7.6), testthat (>= 3.1.5), tidyr (>= 1.3.0), withr"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-02 04:00:08 UTC; windows"		"CRAN"			
"dqrng"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.1"		"R (>= 3.5.0)"	"Rcpp (>= 0.12.16)"	"Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)"	"BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo"		"AGPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:57:29 UTC; windows"		"CRAN"			
"edgeR"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"4.10.5"		"R (>= 3.6.0), limma (>= 3.63.6)"	"methods, graphics, stats, utils, locfit"		"jsonlite, knitr, Matrix, nanoparquet, readr, rhdf5,
SeuratObject, splines, AnnotationDbi, Biobase, BiocStyle,
org.Hs.eg.db, S4Vectors, SummarizedExperiment"		"GPL (>=2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-04 14:39:38 UTC; windows"		"Bioconductor 3.23"	"https://github.com/bioc/edgeR"	"c4a54bdaec47e8b170d8164c417461d7f475ceea"	"AlternativeSplicing, BatchEffect, Bayesian,
BiomedicalInformatics, CellBiology, ChIPSeq, Clustering,
Coverage, DifferentialExpression, DifferentialMethylation,
DifferentialSplicing, DNAMethylation, Epigenetics,
FunctionalGenomics, GeneExpression, GeneSetEnrichment,
Genetics, Genetics, ImmunoOncology, MultipleComparison,
Normalization, Pathways, Proteomics, QualityControl,
Regression, RNASeq, SAGE, Sequencing, SingleCell,
SystemsBiology, TimeCourse, Transcription, Transcriptomics"
"enrichR"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.4"		"R (>= 3.5.0)"	"httr, curl, rjson, ggplot2, WriteXLS"		"knitr, rmarkdown"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 02:44:48 UTC; windows"		"CRAN"			
"evaluate"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0.5"		"R (>= 3.6.0)"			"callr, covr, ggplot2 (>= 3.3.6), lattice, methods, pkgload,
ragg (>= 1.4.0), rlang (>= 1.1.5), knitr, testthat (>= 3.0.0),
withr"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:28 UTC; windows"		"CRAN"			
