config	allocation_id	discovery_allocation	validation_allocation	is_observed	discovery_mcao_animals	validation_mcao_animals
primary	107	10	7	False	GSM5319988|GSM5319989|GSM5319990	GSM7841722|GSM7841723
primary	108	10	8	False	GSM5319988|GSM5319989|GSM5319990	GSM7841722|GSM7841724
primary	109	10	9	False	GSM5319988|GSM5319989|GSM5319990	GSM7841723|GSM7841724
primary	110	11	0	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841721
primary	111	11	1	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841722
primary	112	11	2	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841723
primary	113	11	3	False	GSM5319988|GSM5319989|GSM5319991	GSM7841720|GSM7841724
primary	114	11	4	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841722
primary	115	11	5	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841723
primary	116	11	6	False	GSM5319988|GSM5319989|GSM5319991	GSM7841721|GSM7841724
primary	117	11	7	False	GSM5319988|GSM5319989|GSM5319991	GSM7841722|GSM7841723
primary	118	11	8	False	GSM5319988|GSM5319989|GSM5319991	GSM7841722|GSM7841724
primary	119	11	9	False	GSM5319988|GSM5319989|GSM5319991	GSM7841723|GSM7841724
primary	120	12	0	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841721
primary	121	12	1	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841722
primary	122	12	2	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841723
primary	123	12	3	False	GSM5319988|GSM5319989|GSM5319992	GSM7841720|GSM7841724
primary	124	12	4	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841722
primary	125	12	5	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841723
primary	126	12	6	False	GSM5319988|GSM5319989|GSM5319992	GSM7841721|GSM7841724
primary	127	12	7	False	GSM5319988|GSM5319989|GSM5319992	GSM7841722|GSM7841723
primary	128	12	8	False	GSM5319988|GSM5319989|GSM5319992	GSM7841722|GSM7841724
primary	129	12	9	False	GSM5319988|GSM5319989|GSM5319992	GSM7841723|GSM7841724
primary	130	13	0	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841721
primary	131	13	1	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841722
primary	132	13	2	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841723
primary	133	13	3	False	GSM5319988|GSM5319990|GSM5319991	GSM7841720|GSM7841724
primary	134	13	4	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841722
primary	135	13	5	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841723
primary	136	13	6	False	GSM5319988|GSM5319990|GSM5319991	GSM7841721|GSM7841724
primary	137	13	7	False	GSM5319988|GSM5319990|GSM5319991	GSM7841722|GSM7841723
primary	138	13	8	False	GSM5319988|GSM5319990|GSM5319991	GSM7841722|GSM7841724
primary	139	13	9	False	GSM5319988|GSM5319990|GSM5319991	GSM7841723|GSM7841724
primary	140	14	0	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841721
primary	141	14	1	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841722
primary	142	14	2	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841723
primary	143	14	3	False	GSM5319988|GSM5319990|GSM5319992	GSM7841720|GSM7841724
primary	144	14	4	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841722
primary	145	14	5	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841723
primary	146	14	6	False	GSM5319988|GSM5319990|GSM5319992	GSM7841721|GSM7841724
primary	147	14	7	False	GSM5319988|GSM5319990|GSM5319992	GSM7841722|GSM7841723
primary	148	14	8	False	GSM5319988|GSM5319990|GSM5319992	GSM7841722|GSM7841724
primary	149	14	9	False	GSM5319988|GSM5319990|GSM5319992	GSM7841723|GSM7841724
primary	150	15	0	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841721
primary	151	15	1	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841722
primary	152	15	2	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841723
primary	153	15	3	False	GSM5319988|GSM5319991|GSM5319992	GSM7841720|GSM7841724
primary	154	15	4	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841722
primary	155	15	5	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841723
primary	156	15	6	False	GSM5319988|GSM5319991|GSM5319992	GSM7841721|GSM7841724
primary	157	15	7	False	GSM5319988|GSM5319991|GSM5319992	GSM7841722|GSM7841723
primary	158	15	8	False	GSM5319988|GSM5319991|GSM5319992	GSM7841722|GSM7841724
primary	159	15	9	False	GSM5319988|GSM5319991|GSM5319992	GSM7841723|GSM7841724
primary	160	16	0	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841721
primary	161	16	1	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841722
primary	162	16	2	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841723
primary	163	16	3	False	GSM5319989|GSM5319990|GSM5319991	GSM7841720|GSM7841724
primary	164	16	4	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841722
primary	165	16	5	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841723
primary	166	16	6	False	GSM5319989|GSM5319990|GSM5319991	GSM7841721|GSM7841724
primary	167	16	7	False	GSM5319989|GSM5319990|GSM5319991	GSM7841722|GSM7841723
primary	168	16	8	False	GSM5319989|GSM5319990|GSM5319991	GSM7841722|GSM7841724
primary	169	16	9	False	GSM5319989|GSM5319990|GSM5319991	GSM7841723|GSM7841724
primary	170	17	0	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841721
primary	171	17	1	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841722
primary	172	17	2	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841723
primary	173	17	3	False	GSM5319989|GSM5319990|GSM5319992	GSM7841720|GSM7841724
primary	174	17	4	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841722
primary	175	17	5	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841723
primary	176	17	6	False	GSM5319989|GSM5319990|GSM5319992	GSM7841721|GSM7841724
primary	177	17	7	False	GSM5319989|GSM5319990|GSM5319992	GSM7841722|GSM7841723
primary	178	17	8	False	GSM5319989|GSM5319990|GSM5319992	GSM7841722|GSM7841724
primary	179	17	9	False	GSM5319989|GSM5319990|GSM5319992	GSM7841723|GSM7841724
primary	180	18	0	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841721
primary	181	18	1	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841722
primary	182	18	2	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841723
primary	183	18	3	False	GSM5319989|GSM5319991|GSM5319992	GSM7841720|GSM7841724
primary	184	18	4	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841722
primary	185	18	5	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841723
primary	186	18	6	False	GSM5319989|GSM5319991|GSM5319992	GSM7841721|GSM7841724
primary	187	18	7	False	GSM5319989|GSM5319991|GSM5319992	GSM7841722|GSM7841723
primary	188	18	8	False	GSM5319989|GSM5319991|GSM5319992	GSM7841722|GSM7841724
primary	189	18	9	False	GSM5319989|GSM5319991|GSM5319992	GSM7841723|GSM7841724
primary	190	19	0	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841721
primary	191	19	1	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841722
primary	192	19	2	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841723
primary	193	19	3	False	GSM5319990|GSM5319991|GSM5319992	GSM7841720|GSM7841724
primary	194	19	4	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841722
primary	195	19	5	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841723
primary	196	19	6	False	GSM5319990|GSM5319991|GSM5319992	GSM7841721|GSM7841724
primary	197	19	7	False	GSM5319990|GSM5319991|GSM5319992	GSM7841722|GSM7841723
primary	198	19	8	False	GSM5319990|GSM5319991|GSM5319992	GSM7841722|GSM7841724
primary	199	19	9	True	GSM5319990|GSM5319991|GSM5319992	GSM7841723|GSM7841724
reference_singlet	0	0	0	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841721
reference_singlet	1	0	1	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841722
reference_singlet	2	0	2	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841723
reference_singlet	3	0	3	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841724
reference_singlet	4	0	4	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841722
reference_singlet	5	0	5	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841723
reference_singlet	6	0	6	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841724
reference_singlet	7	0	7	False	GSM5319987|GSM5319988|GSM5319989	GSM7841722|GSM7841723
reference_singlet	8	0	8	False	GSM5319987|GSM5319988|GSM5319989	GSM7841722|GSM7841724
reference_singlet	9	0	9	False	GSM5319987|GSM5319988|GSM5319989	GSM7841723|GSM7841724
reference_singlet	10	1	0	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841721
reference_singlet	11	1	1	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841722
reference_singlet	12	1	2	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841723
reference_singlet	13	1	3	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841724
reference_singlet	14	1	4	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841722
reference_singlet	15	1	5	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841723
reference_singlet	16	1	6	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841724
reference_singlet	17	1	7	False	GSM5319987|GSM5319988|GSM5319990	GSM7841722|GSM7841723
reference_singlet	18	1	8	False	GSM5319987|GSM5319988|GSM5319990	GSM7841722|GSM7841724
reference_singlet	19	1	9	False	GSM5319987|GSM5319988|GSM5319990	GSM7841723|GSM7841724
reference_singlet	20	2	0	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841721
reference_singlet	21	2	1	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841722
reference_singlet	22	2	2	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841723
reference_singlet	23	2	3	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841724
reference_singlet	24	2	4	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841722
reference_singlet	25	2	5	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841723
reference_singlet	26	2	6	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841724
reference_singlet	27	2	7	False	GSM5319987|GSM5319988|GSM5319991	GSM7841722|GSM7841723
reference_singlet	28	2	8	False	GSM5319987|GSM5319988|GSM5319991	GSM7841722|GSM7841724
reference_singlet	29	2	9	False	GSM5319987|GSM5319988|GSM5319991	GSM7841723|GSM7841724
reference_singlet	30	3	0	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841721
reference_singlet	31	3	1	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841722
reference_singlet	32	3	2	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841723
reference_singlet	33	3	3	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841724
reference_singlet	34	3	4	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841722
reference_singlet	35	3	5	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841723
reference_singlet	36	3	6	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841724
reference_singlet	37	3	7	False	GSM5319987|GSM5319988|GSM5319992	GSM7841722|GSM7841723
reference_singlet	38	3	8	False	GSM5319987|GSM5319988|GSM5319992	GSM7841722|GSM7841724
reference_singlet	39	3	9	False	GSM5319987|GSM5319988|GSM5319992	GSM7841723|GSM7841724
reference_singlet	40	4	0	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841721
reference_singlet	41	4	1	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841722
reference_singlet	42	4	2	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841723
reference_singlet	43	4	3	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841724
reference_singlet	44	4	4	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841722
reference_singlet	45	4	5	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841723
reference_singlet	46	4	6	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841724
reference_singlet	47	4	7	False	GSM5319987|GSM5319989|GSM5319990	GSM7841722|GSM7841723
reference_singlet	48	4	8	False	GSM5319987|GSM5319989|GSM5319990	GSM7841722|GSM7841724
reference_singlet	49	4	9	False	GSM5319987|GSM5319989|GSM5319990	GSM7841723|GSM7841724
reference_singlet	50	5	0	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841721
reference_singlet	51	5	1	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841722
reference_singlet	52	5	2	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841723
reference_singlet	53	5	3	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841724
reference_singlet	54	5	4	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841722
reference_singlet	55	5	5	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841723
reference_singlet	56	5	6	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841724
reference_singlet	57	5	7	False	GSM5319987|GSM5319989|GSM5319991	GSM7841722|GSM7841723
reference_singlet	58	5	8	False	GSM5319987|GSM5319989|GSM5319991	GSM7841722|GSM7841724
reference_singlet	59	5	9	False	GSM5319987|GSM5319989|GSM5319991	GSM7841723|GSM7841724
reference_singlet	60	6	0	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841721
reference_singlet	61	6	1	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841722
reference_singlet	62	6	2	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841723
reference_singlet	63	6	3	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841724
reference_singlet	64	6	4	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841722
reference_singlet	65	6	5	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841723
reference_singlet	66	6	6	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841724
reference_singlet	67	6	7	False	GSM5319987|GSM5319989|GSM5319992	GSM7841722|GSM7841723
reference_singlet	68	6	8	False	GSM5319987|GSM5319989|GSM5319992	GSM7841722|GSM7841724
reference_singlet	69	6	9	False	GSM5319987|GSM5319989|GSM5319992	GSM7841723|GSM7841724
reference_singlet	70	7	0	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841721
reference_singlet	71	7	1	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841722
reference_singlet	72	7	2	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841723
reference_singlet	73	7	3	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841724
reference_singlet	74	7	4	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841722
reference_singlet	75	7	5	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841723
reference_singlet	76	7	6	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841724
reference_singlet	77	7	7	False	GSM5319987|GSM5319990|GSM5319991	GSM7841722|GSM7841723
reference_singlet	78	7	8	False	GSM5319987|GSM5319990|GSM5319991	GSM7841722|GSM7841724
reference_singlet	79	7	9	False	GSM5319987|GSM5319990|GSM5319991	GSM7841723|GSM7841724
reference_singlet	80	8	0	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841721
reference_singlet	81	8	1	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841722
reference_singlet	82	8	2	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841723
reference_singlet	83	8	3	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841724
reference_singlet	84	8	4	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841722
reference_singlet	85	8	5	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841723
reference_singlet	86	8	6	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841724
reference_singlet	87	8	7	False	GSM5319987|GSM5319990|GSM5319992	GSM7841722|GSM7841723
reference_singlet	88	8	8	False	GSM5319987|GSM5319990|GSM5319992	GSM7841722|GSM7841724
reference_singlet	89	8	9	False	GSM5319987|GSM5319990|GSM5319992	GSM7841723|GSM7841724
reference_singlet	90	9	0	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841721
reference_singlet	91	9	1	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841722
reference_singlet	92	9	2	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841723
reference_singlet	93	9	3	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841724
